lane_code,lane_name,vessel_service_type_code,effective_from_date,effective_to_date,feeder_division_code
EC1,EAST COAST 1,J,2018/04/01,,T
EC2,EAST COAST 2,J,2018/04/01,,T
EC3,EAST COAST 3,J,2018/04/01,,T
EC4,EAST COAST 4,J,2018/04/01,,T
FE1,FAR EAST - EUROPE 1,J,2018/04/01,,T
FE3,FAR EAST - EUROPE 3,J,2018/04/01,,T
FE4,FAR EAST - EUROPE 4,J,2018/04/01,,T
FE5,FAR EAST EUROPE 5,J,2018/04/01,,T
FE6,FAR EAST EUROPE 6,S,,,T
FP2,FAR EAST PACIFIC 2,J,,,T
MD1,MEDITERRANEAN 1,J,2018/04/01,,T
MD2,MEDITERRANEAN 2,J,2018/04/01,,T
MD3,MEDITERRANEAN 3,J,2018/04/01,,T
MD4,MEDITERRANEAN 4,S,,,T
MD5,MEDITERRANEAN 5,S,,,T
MS2,MEDITERRANEAN PACIFIC SOUTH 2,J,,,T
PN1,PACIFIC NORTH 1,J,2018/04/01,,T
PN3,PACIFIC NORTH 3,J,2018/04/01,,T
PS3,PACIFIC SOUTH 3,J,2018/04/01,,T
PS4,PACIFIC SOUTH 4,J,2018/04/01,,T
PS6,PACIFIC SOUTH 6,J,2018/04/01,,T
PS7,PACIFIC SOUTHWEST 7,J,2018/04/01,,T
PS8,PACIFIC SOUTH 8,J,2018/04/01,,T